市县匹配键,特征值,特征数量,特征字段
梅州_大埔,Y08 梗攝入臻攝,4,語音特徵小類及編碼
梅州_大埔,Y12 其他韻母異讀,3,語音特徵小類及編碼
梅州_大埔,強讀ㄑㄧ·ㄤ陽平,1,語音特徵小類及編碼
梅州_平远,D04 上聲讀平,1,語音特徵小類及編碼
梅州_平远,D06 上去互變,8,語音特徵小類及編碼
梅州_平远,D09 入聲變讀,1,語音特徵小類及編碼
梅州_平远,D12 調值高下描述,9,語音特徵小類及編碼
梅州_平远,S03 疑母、影母、云母、匣母相關混讀,2,語音特徵小類及編碼
梅州_平远,U01 孤立詞音/備查,24,語音特徵小類及編碼
梅州_平远,Y01 蟹攝內部近讀,6,語音特徵小類及編碼
梅州_平远,Y03 遇止近讀 / 魚虞支微相通,1,語音特徵小類及編碼
梅州_平远,Y06 有厚近混 / 流攝內部近讀,7,語音特徵小類及編碼
梅州_平远,Y07 文魂近讀 / 臻攝內部近讀,7,語音特徵小類及編碼
梅州_平远,Y08 梗攝入臻攝,4,語音特徵小類及編碼
梅州_平远,Y12 其他韻母異讀,3,語音特徵小類及編碼
梅州_梅县,D04 上聲讀平,1,語音特徵小類及編碼
梅州_梅县,D06 上去互變,8,語音特徵小類及編碼
梅州_梅县,D09 入聲變讀,1,語音特徵小類及編碼
梅州_梅县,D12 調值高下描述,9,語音特徵小類及編碼
梅州_梅县,S03 疑母、影母、云母、匣母相關混讀,2,語音特徵小類及編碼
梅州_梅县,U01 孤立詞音/備查,24,語音特徵小類及編碼
梅州_梅县,Y01 蟹攝內部近讀,6,語音特徵小類及編碼
梅州_梅县,Y03 遇止近讀 / 魚虞支微相通,1,語音特徵小類及編碼
梅州_梅县,Y06 有厚近混 / 流攝內部近讀,7,語音特徵小類及編碼
梅州_梅县,Y07 文魂近讀 / 臻攝內部近讀,7,語音特徵小類及編碼
梅州_梅县,Y08 梗攝入臻攝,4,語音特徵小類及編碼
梅州_梅县,Y12 其他韻母異讀,4,語音特徵小類及編碼
梅州_梅江,D04 上聲讀平,1,語音特徵小類及編碼
梅州_梅江,D06 上去互變,8,語音特徵小類及編碼
梅州_梅江,D09 入聲變讀,1,語音特徵小類及編碼
梅州_梅江,D12 調值高下描述,9,語音特徵小類及編碼
梅州_梅江,S03 疑母、影母、云母、匣母相關混讀,2,語音特徵小類及編碼
梅州_梅江,U01 孤立詞音/備查,24,語音特徵小類及編碼
梅州_梅江,Y01 蟹攝內部近讀,6,語音特徵小類及編碼
梅州_梅江,Y03 遇止近讀 / 魚虞支微相通,1,語音特徵小類及編碼
梅州_梅江,Y06 有厚近混 / 流攝內部近讀,7,語音特徵小類及編碼
梅州_梅江,Y07 文魂近讀 / 臻攝內部近讀,7,語音特徵小類及編碼
梅州_梅江,Y08 梗攝入臻攝,4,語音特徵小類及編碼
梅州_梅江,Y12 其他韻母異讀,3,語音特徵小類及編碼
梅州_蕉岭,D04 上聲讀平,2,語音特徵小類及編碼
梅州_蕉岭,D06 上去互變,13,語音特徵小類及編碼
梅州_蕉岭,D09 入聲變讀,4,語音特徵小類及編碼
梅州_蕉岭,D12 調值高下描述,11,語音特徵小類及編碼
梅州_蕉岭,S03 疑母、影母、云母、匣母相關混讀,4,語音特徵小類及編碼
梅州_蕉岭,U01 孤立詞音/備查,50,語音特徵小類及編碼
梅州_蕉岭,Y01 蟹攝內部近讀,13,語音特徵小類及編碼
梅州_蕉岭,Y03 遇止近讀 / 魚虞支微相通,1,語音特徵小類及編碼
梅州_蕉岭,Y04 效攝與果攝近讀 / 豪歌近混,1,語音特徵小類及編碼
梅州_蕉岭,Y06 有厚近混 / 流攝內部近讀,9,語音特徵小類及編碼
梅州_蕉岭,Y07 文魂近讀 / 臻攝內部近讀,16,語音特徵小類及編碼
梅州_蕉岭,Y08 梗攝入臻攝,4,語音特徵小類及編碼
梅州_蕉岭,Y12 其他韻母異讀,3,語音特徵小類及編碼
汕头_南澳,D04 上聲讀平,1,語音特徵小類及編碼
汕头_南澳,S03 疑母、影母、云母、匣母相關混讀,2,語音特徵小類及編碼
汕头_南澳,U01 孤立詞音/備查,22,語音特徵小類及編碼
汕头_南澳,Y01 蟹攝內部近讀,15,語音特徵小類及編碼
汕头_南澳,Y06 有厚近混 / 流攝內部近讀,10,語音特徵小類及編碼
汕头_南澳,Y07 文魂近讀 / 臻攝內部近讀,9,語音特徵小類及編碼
汕头_潮南,S03 疑母、影母、云母、匣母相關混讀,1,語音特徵小類及編碼
汕头_潮南,U01 孤立詞音/備查,7,語音特徵小類及編碼
汕头_潮南,Y01 蟹攝內部近讀,12,語音特徵小類及編碼
汕头_潮南,Y06 有厚近混 / 流攝內部近讀,5,語音特徵小類及編碼
汕头_潮南,Y07 文魂近讀 / 臻攝內部近讀,2,語音特徵小類及編碼
汕头_潮阳,S03 疑母、影母、云母、匣母相關混讀,2,語音特徵小類及編碼
汕头_潮阳,U01 孤立詞音/備查,20,語音特徵小類及編碼
汕头_潮阳,Y01 蟹攝內部近讀,14,語音特徵小類及編碼
汕头_潮阳,Y03 遇止近讀 / 魚虞支微相通,1,語音特徵小類及編碼
汕头_潮阳,Y06 有厚近混 / 流攝內部近讀,10,語音特徵小類及編碼
汕头_潮阳,Y07 文魂近讀 / 臻攝內部近讀,4,語音特徵小類及編碼
汕头_潮阳,Y11 入聲韻近讀,1,語音特徵小類及編碼
汕头_澄海,S03 疑母、影母、云母、匣母相關混讀,2,語音特徵小類及編碼
汕头_澄海,U01 孤立詞音/備查,40,語音特徵小類及編碼
汕头_澄海,Y01 蟹攝內部近讀,18,語音特徵小類及編碼
汕头_澄海,Y03 遇止近讀 / 魚虞支微相通,1,語音特徵小類及編碼
汕头_澄海,Y06 有厚近混 / 流攝內部近讀,20,語音特徵小類及編碼
汕头_澄海,Y07 文魂近讀 / 臻攝內部近讀,10,語音特徵小類及編碼
汕头_濠江,S03 疑母、影母、云母、匣母相關混讀,1,語音特徵小類及編碼
汕头_濠江,U01 孤立詞音/備查,7,語音特徵小類及編碼
汕头_濠江,Y01 蟹攝內部近讀,12,語音特徵小類及編碼
汕头_濠江,Y06 有厚近混 / 流攝內部近讀,5,語音特徵小類及編碼
汕头_濠江,Y07 文魂近讀 / 臻攝內部近讀,2,語音特徵小類及編碼
汕头_金平,S03 疑母、影母、云母、匣母相關混讀,1,語音特徵小類及編碼
汕头_金平,U01 孤立詞音/備查,7,語音特徵小類及編碼
汕头_金平,Y01 蟹攝內部近讀,12,語音特徵小類及編碼
汕头_金平,Y06 有厚近混 / 流攝內部近讀,5,語音特徵小類及編碼
汕头_金平,Y07 文魂近讀 / 臻攝內部近讀,2,語音特徵小類及編碼
汕头_龙湖,S03 疑母、影母、云母、匣母相關混讀,1,語音特徵小類及編碼
汕头_龙湖,U01 孤立詞音/備查,7,語音特徵小類及編碼
汕头_龙湖,Y01 蟹攝內部近讀,12,語音特徵小類及編碼
汕头_龙湖,Y06 有厚近混 / 流攝內部近讀,5,語音特徵小類及編碼
汕头_龙湖,Y07 文魂近讀 / 臻攝內部近讀,2,語音特徵小類及編碼
汕尾_海丰,Y01 蟹攝內部近讀,1,語音特徵小類及編碼
江门_台山,U01 孤立詞音/備查,1,語音特徵小類及編碼
江门_台山,Y04 效攝與果攝近讀 / 豪歌近混,1,語音特徵小類及編碼
江门_开平,D07 平仄相易 / 平仄相反,1,語音特徵小類及編碼
江门_开平,D12 調值高下描述,1,語音特徵小類及編碼
江门_开平,S04 精莊知章組近混,1,語音特徵小類及編碼
江门_开平,U01 孤立詞音/備查,4,語音特徵小類及編碼
江门_开平,Y01 蟹攝內部近讀,1,語音特徵小類及編碼
江门_开平,Y03 遇止近讀 / 魚虞支微相通,1,語音特徵小類及編碼
江门_开平,Y04 效攝與果攝近讀 / 豪歌近混,1,語音特徵小類及編碼
江门_开平,Y06 有厚近混 / 流攝內部近讀,1,語音特徵小類及編碼
江门_开平,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
江门_开平,Y12 其他韻母異讀,1,語音特徵小類及編碼
江门_恩平,Y04 效攝與果攝近讀 / 豪歌近混,1,語音特徵小類及編碼
江门_新会,D01 平聲讀去 / 平聲類去,4,語音特徵小類及編碼
江门_新会,D06 上去互變,1,語音特徵小類及編碼
江门_新会,D07 平仄相易 / 平仄相反,2,語音特徵小類及編碼
江门_新会,U01 孤立詞音/備查,2,語音特徵小類及編碼
江门_新会,Y04 效攝與果攝近讀 / 豪歌近混,2,語音特徵小類及編碼
江门_新会,Y12 其他韻母異讀,1,語音特徵小類及編碼
江门_江海,D06 上去互變,1,語音特徵小類及編碼
江门_江海,U01 孤立詞音/備查,1,語音特徵小類及編碼
江门_江海,Y04 效攝與果攝近讀 / 豪歌近混,1,語音特徵小類及編碼
江门_江海,Y12 其他韻母異讀,1,語音特徵小類及編碼
江门_蓬江,D06 上去互變,1,語音特徵小類及編碼
江门_蓬江,U01 孤立詞音/備查,1,語音特徵小類及編碼
江门_蓬江,Y04 效攝與果攝近讀 / 豪歌近混,1,語音特徵小類及編碼
江门_蓬江,Y12 其他韻母異讀,1,語音特徵小類及編碼
江门_鹤山,D01 平聲讀去 / 平聲類去,1,語音特徵小類及編碼
江门_鹤山,D02 平聲讀仄,1,語音特徵小類及編碼
江门_鹤山,D09 入聲變讀,1,語音特徵小類及編碼
江门_鹤山,U01 孤立詞音/備查,4,語音特徵小類及編碼
江门_鹤山,Y04 效攝與果攝近讀 / 豪歌近混,1,語音特徵小類及編碼
江门_鹤山,Y06 有厚近混 / 流攝內部近讀,3,語音特徵小類及編碼
江门_鹤山,Y12 其他韻母異讀,1,語音特徵小類及編碼
河源_东源,Y01 蟹攝內部近讀,3,語音特徵小類及編碼
河源_东源,Y02 庚陽近混 / 梗宕近讀,1,語音特徵小類及編碼
河源_东源,Y12 其他韻母異讀,4,語音特徵小類及編碼
河源_源城,Y01 蟹攝內部近讀,3,語音特徵小類及編碼
河源_源城,Y02 庚陽近混 / 梗宕近讀,1,語音特徵小類及編碼
河源_源城,Y12 其他韻母異讀,4,語音特徵小類及編碼
河源_龙川,D06 上去互變,1,語音特徵小類及編碼
河源_龙川,U01 孤立詞音/備查,6,語音特徵小類及編碼
河源_龙川,Y01 蟹攝內部近讀,1,語音特徵小類及編碼
河源_龙川,Y12 其他韻母異讀,1,語音特徵小類及編碼
深圳_光明,Y12 其他韻母異讀,1,語音特徵小類及編碼
深圳_南山,Y04 效攝與果攝近讀 / 豪歌近混,2,語音特徵小類及編碼
深圳_南山,Y12 其他韻母異讀,1,語音特徵小類及編碼
深圳_坪山,Y12 其他韻母異讀,1,語音特徵小類及編碼
深圳_宝安,Y12 其他韻母異讀,1,語音特徵小類及編碼
深圳_盐田,Y12 其他韻母異讀,1,語音特徵小類及編碼
深圳_福田,Y12 其他韻母異讀,1,語音特徵小類及編碼
深圳_罗湖,Y12 其他韻母異讀,1,語音特徵小類及編碼
深圳_龙华,Y12 其他韻母異讀,1,語音特徵小類及編碼
深圳_龙岗,Y12 其他韻母異讀,1,語音特徵小類及編碼
清远_清,D04 上聲讀平,6,語音特徵小類及編碼
清远_清,D06 上去互變,4,語音特徵小類及編碼
清远_清,D09 入聲變讀,4,語音特徵小類及編碼
清远_清,D12 調值高下描述,4,語音特徵小類及編碼
清远_清,S05 清濁聲母差異或清濁標記,1,語音特徵小類及編碼
清远_清,U01 孤立詞音/備查,10,語音特徵小類及編碼
清远_清,Y01 蟹攝內部近讀,1,語音特徵小類及編碼
清远_清,Y06 有厚近混 / 流攝內部近讀,1,語音特徵小類及編碼
清远_清,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
清远_清城,D04 上聲讀平,6,語音特徵小類及編碼
清远_清城,D06 上去互變,4,語音特徵小類及編碼
清远_清城,D09 入聲變讀,4,語音特徵小類及編碼
清远_清城,D12 調值高下描述,4,語音特徵小類及編碼
清远_清城,S05 清濁聲母差異或清濁標記,1,語音特徵小類及編碼
清远_清城,U01 孤立詞音/備查,10,語音特徵小類及編碼
清远_清城,Y01 蟹攝內部近讀,1,語音特徵小類及編碼
清远_清城,Y07 文魂近讀 / 臻攝內部近讀,1,語音特徵小類及編碼
湛江_吴川,D07 平仄相易 / 平仄相反,1,語音特徵小類及編碼
湛江_吴川,S02 日母字異讀,1,語音特徵小類及編碼
湛江_吴川,S04 精莊知章組近混,2,語音特徵小類及編碼
湛江_吴川,Y06 有厚近混 / 流攝內部近讀,2,語音特徵小類及編碼
湛江_吴川,Y07 文魂近讀 / 臻攝內部近讀,2,語音特徵小類及編碼
湛江_吴川,Y12 其他韻母異讀,1,語音特徵小類及編碼
湛江_廉江,D07 平仄相易 / 平仄相反,1,語音特徵小類及編碼
湛江_廉江,S02 日母字異讀,1,語音特徵小類及編碼
湛江_廉江,S04 精莊知章組近混,2,語音特徵小類及編碼
湛江_廉江,Y06 有厚近混 / 流攝內部近讀,2,語音特徵小類及編碼
湛江_廉江,Y07 文魂近讀 / 臻攝內部近讀,2,語音特徵小類及編碼
湛江_廉江,Y12 其他韻母異讀,1,語音特徵小類及編碼
潮州_湘桥,S03 疑母、影母、云母、匣母相關混讀,1,語音特徵小類及編碼
潮州_湘桥,U01 孤立詞音/備查,7,語音特徵小類及編碼
潮州_湘桥,Y01 蟹攝內部近讀,12,語音特徵小類及編碼
潮州_湘桥,Y06 有厚近混 / 流攝內部近讀,5,語音特徵小類及編碼
潮州_湘桥,Y07 文魂近讀 / 臻攝內部近讀,2,語音特徵小類及編碼
潮州_潮安,S03 疑母、影母、云母、匣母相關混讀,1,語音特徵小類及編碼
潮州_潮安,U01 孤立詞音/備查,7,語音特徵小類及編碼
潮州_潮安,Y01 蟹攝內部近讀,12,語音特徵小類及編碼
潮州_潮安,Y06 有厚近混 / 流攝內部近讀,5,語音特徵小類及編碼
潮州_潮安,Y07 文魂近讀 / 臻攝內部近讀,2,語音特徵小類及編碼
潮州_饶平,S03 疑母、影母、云母、匣母相關混讀,1,語音特徵小類及編碼
潮州_饶平,U01 孤立詞音/備查,7,語音特徵小類及編碼
潮州_饶平,Y01 蟹攝內部近讀,12,語音特徵小類及編碼
潮州_饶平,Y06 有厚近混 / 流攝內部近讀,5,語音特徵小類及編碼
潮州_饶平,Y07 文魂近讀 / 臻攝內部近讀,2,語音特徵小類及編碼
珠海_斗门,S02 日母字異讀,2,語音特徵小類及編碼
珠海_金湾,S02 日母字異讀,2,語音特徵小類及編碼
珠海_香洲,S02 日母字異讀,2,語音特徵小類及編碼
肇庆_四会,Y02 庚陽近混 / 梗宕近讀,2,語音特徵小類及編碼
肇庆_封开,D06 上去互變,3,語音特徵小類及編碼
肇庆_封开,D08 入聲保存,1,語音特徵小類及編碼
肇庆_封开,D11 連讀變調 / 語流變調,5,語音特徵小類及編碼
肇庆_封开,D12 調值高下描述,8,語音特徵小類及編碼
肇庆_封开,S02 日母字異讀,1,語音特徵小類及編碼
肇庆_封开,S05 清濁聲母差異或清濁標記,3,語音特徵小類及編碼
肇庆_封开,U01 孤立詞音/備查,16,語音特徵小類及編碼
肇庆_封开,Y01 蟹攝內部近讀,4,語音特徵小類及編碼
肇庆_封开,Y06 有厚近混 / 流攝內部近讀,2,語音特徵小類及編碼
肇庆_封开,Y07 文魂近讀 / 臻攝內部近讀,2,語音特徵小類及編碼
肇庆_德庆,D06 上去互變,3,語音特徵小類及編碼
肇庆_德庆,D08 入聲保存,1,語音特徵小類及編碼
肇庆_德庆,D09 入聲變讀,1,語音特徵小類及編碼
肇庆_德庆,D11 連讀變調 / 語流變調,5,語音特徵小類及編碼
肇庆_德庆,D12 調值高下描述,8,語音特徵小類及編碼
肇庆_德庆,S02 日母字異讀,1,語音特徵小類及編碼
肇庆_德庆,S05 清濁聲母差異或清濁標記,4,語音特徵小類及編碼
肇庆_德庆,S06 齒縫音缺失或齒音特徵,1,語音特徵小類及編碼
肇庆_德庆,U01 孤立詞音/備查,16,語音特徵小類及編碼
肇庆_德庆,Y01 蟹攝內部近讀,4,語音特徵小類及編碼
肇庆_德庆,Y03 遇止近讀 / 魚虞支微相通,1,語音特徵小類及編碼
肇庆_德庆,Y05 效攝與遇攝近讀,1,語音特徵小類及編碼
肇庆_德庆,Y06 有厚近混 / 流攝內部近讀,4,語音特徵小類及編碼
肇庆_德庆,Y07 文魂近讀 / 臻攝內部近讀,3,語音特徵小類及編碼
肇庆_高要,Y03 遇止近讀 / 魚虞支微相通,1,語音特徵小類及編碼
茂名_信宜,D07 平仄相易 / 平仄相反,3,語音特徵小類及編碼
茂名_信宜,S02 日母字異讀,3,語音特徵小類及編碼
茂名_信宜,S04 精莊知章組近混,5,語音特徵小類及編碼
茂名_信宜,U01 孤立詞音/備查,1,語音特徵小類及編碼
茂名_信宜,Y06 有厚近混 / 流攝內部近讀,6,語音特徵小類及編碼
茂名_信宜,Y07 文魂近讀 / 臻攝內部近讀,6,語音特徵小類及編碼
茂名_信宜,Y12 其他韻母異讀,3,語音特徵小類及編碼
茂名_化州,D07 平仄相易 / 平仄相反,2,語音特徵小類及編碼
茂名_化州,S02 日母字異讀,2,語音特徵小類及編碼
茂名_化州,S04 精莊知章組近混,4,語音特徵小類及編碼
茂名_化州,U01 孤立詞音/備查,1,語音特徵小類及編碼
茂名_化州,Y06 有厚近混 / 流攝內部近讀,4,語音特徵小類及編碼
茂名_化州,Y07 文魂近讀 / 臻攝內部近讀,4,語音特徵小類及編碼
茂名_化州,Y12 其他韻母異讀,2,語音特徵小類及編碼
茂名_电白,D07 平仄相易 / 平仄相反,2,語音特徵小類及編碼
茂名_电白,S02 日母字異讀,2,語音特徵小類及編碼
茂名_电白,S04 精莊知章組近混,4,語音特徵小類及編碼
茂名_电白,U01 孤立詞音/備查,1,語音特徵小類及編碼
茂名_电白,Y06 有厚近混 / 流攝內部近讀,4,語音特徵小類及編碼
茂名_电白,Y07 文魂近讀 / 臻攝內部近讀,4,語音特徵小類及編碼
茂名_电白,Y12 其他韻母異讀,2,語音特徵小類及編碼
茂名_茂南,D07 平仄相易 / 平仄相反,2,語音特徵小類及編碼
茂名_茂南,S02 日母字異讀,2,語音特徵小類及編碼
茂名_茂南,S04 精莊知章組近混,3,語音特徵小類及編碼
茂名_茂南,U01 孤立詞音/備查,1,語音特徵小類及編碼
茂名_茂南,Y06 有厚近混 / 流攝內部近讀,4,語音特徵小類及編碼
茂名_茂南,Y07 文魂近讀 / 臻攝內部近讀,4,語音特徵小類及編碼
茂名_茂南,Y12 其他韻母異讀,2,語音特徵小類及編碼
茂名_高州,D07 平仄相易 / 平仄相反,3,語音特徵小類及編碼
茂名_高州,S02 日母字異讀,3,語音特徵小類及編碼
茂名_高州,S04 精莊知章組近混,5,語音特徵小類及編碼
茂名_高州,U01 孤立詞音/備查,1,語音特徵小類及編碼
茂名_高州,Y06 有厚近混 / 流攝內部近讀,6,語音特徵小類及編碼
茂名_高州,Y07 文魂近讀 / 臻攝內部近讀,6,語音特徵小類及編碼
茂名_高州,Y12 其他韻母異讀,3,語音特徵小類及編碼
阳江_江城,D12 調值高下描述,4,語音特徵小類及編碼
阳江_江城,S06 齒縫音缺失或齒音特徵,1,語音特徵小類及編碼
阳江_江城,U01 孤立詞音/備查,2,語音特徵小類及編碼
阳江_江城,Y03 遇止近讀 / 魚虞支微相通,3,語音特徵小類及編碼
阳江_阳东,U01 孤立詞音/備查,1,語音特徵小類及編碼
阳江_阳春,U01 孤立詞音/備查,1,語音特徵小類及編碼
阳江_阳春,Y03 遇止近讀 / 魚虞支微相通,2,語音特徵小類及編碼
阳江_阳西,U01 孤立詞音/備查,1,語音特徵小類及編碼
东莞_东莞,上聲相關變讀,4,標準化語音特徵
东莞_东莞,上聲讀平,1,標準化語音特徵
东莞_东莞,以刀削物曰𠜱,1,標準化語音特徵
东莞_东莞,來讀如釐,1,標準化語音特徵
东莞_东莞,入聲變讀,4,標準化語音特徵
东莞_东莞,冒讀如昧,1,標準化語音特徵
东莞_东莞,去聲相關變讀,4,標準化語音特徵
东莞_东莞,喙讀若載,1,標準化語音特徵
东莞_东莞,姣讀户交切平聲,1,標準化語音特徵
东莞_东莞,嬭讀如米,1,標準化語音特徵
东莞_东莞,嬭讀如襧,1,標準化語音特徵
东莞_东莞,平聲讀去,7,標準化語音特徵
东莞_东莞,弟讀如地,1,標準化語音特徵
东莞_东莞,挼讀如挪,1,標準化語音特徵
东莞_东莞,文魂近讀 / 臻攝內部近讀,12,標準化語音特徵
东莞_东莞,日母字異讀,1,標準化語音特徵
东莞_东莞,暫不提取,38,標準化語音特徵
东莞_东莞,有厚近混,3,標準化語音特徵
东莞_东莞,毒讀如代,1,標準化語音特徵
东莞_东莞,清濁聲母差異或清濁標記,5,標準化語音特徵
东莞_东莞,睇讀若體,1,標準化語音特徵
东莞_东莞,知讀如地平聲,1,標準化語音特徵
东莞_东莞,脢讀如梅,1,標準化語音特徵
东莞_东莞,腩讀乃林切,1,標準化語音特徵
东莞_东莞,豪歌近混,1,標準化語音特徵
东莞_东莞,跛讀如彼平聲,1,標準化語音特徵
东莞_东莞,輕唇讀重唇 / 重唇音保存,1,標準化語音特徵
东莞_东莞,騃讀若厓,1,標準化語音特徵
中山_中山,日母字異讀,3,標準化語音特徵
中山_中山,暫不提取,3,標準化語音特徵
云浮_新兴,文魂近讀 / 臻攝內部近讀,1,標準化語音特徵
云浮_新兴,魚虞支微相通,1,標準化語音特徵
云浮_罗定,上聲相關變讀,1,標準化語音特徵
云浮_罗定,來讀釐,1,標準化語音特徵
云浮_罗定,來讀黎,1,標準化語音特徵
云浮_罗定,姣讀巧平聲,1,標準化語音特徵
云浮_罗定,文魂近讀 / 臻攝內部近讀,1,標準化語音特徵
云浮_罗定,暫不提取,2,標準化語音特徵
云浮_罗定,釐轉爲黎,1,標準化語音特徵
佛山_顺德,文魂近讀 / 臻攝內部近讀,1,標準化語音特徵
佛山_顺德,暫不提取,10,標準化語音特徵
佛山_高明,暫不提取,8,標準化語音特徵
广州_从化,上聲相關變讀,4,標準化語音特徵
广州_从化,之咍近混,1,標準化語音特徵
广州_从化,仔讀濟,1,標準化語音特徵
广州_从化,來讀黎,1,標準化語音特徵
广州_从化,孻讀賴平聲,1,標準化語音特徵
广州_从化,屘讀米,1,標準化語音特徵
广州_从化,崽讀宰,2,標準化語音特徵
广州_从化,搋讀釵,1,標準化語音特徵
广州_从化,效攝與遇攝近讀,7,標準化語音特徵
广州_从化,文魂近讀 / 臻攝內部近讀,1,標準化語音特徵
广州_从化,暫不提取,19,標準化語音特徵
广州_从化,有厚近混,4,標準化語音特徵
广州_从化,省會造讀在路切,1,標準化語音特徵
广州_从化,虞模近混,2,標準化語音特徵
广州_从化,遇止近讀,1,標準化語音特徵
广州_从化,齊咍近混,1,標準化語音特徵
广州_南沙,上聲相關變讀,4,標準化語音特徵
广州_南沙,之咍近混,1,標準化語音特徵
广州_南沙,仔讀濟,1,標準化語音特徵
广州_南沙,來讀黎,1,標準化語音特徵
广州_南沙,孻讀賴平聲,1,標準化語音特徵
广州_南沙,屘讀米,1,標準化語音特徵
广州_南沙,崽讀宰,2,標準化語音特徵
广州_南沙,搋讀釵,1,標準化語音特徵
广州_南沙,效攝與遇攝近讀,7,標準化語音特徵
广州_南沙,文魂近讀 / 臻攝內部近讀,1,標準化語音特徵
广州_南沙,暫不提取,19,標準化語音特徵
广州_南沙,有厚近混,4,標準化語音特徵
广州_南沙,省會造讀在路切,1,標準化語音特徵
广州_南沙,虞模近混,2,標準化語音特徵
广州_南沙,遇止近讀,1,標準化語音特徵
广州_南沙,齊咍近混,1,標準化語音特徵
广州_增城,上聲相關變讀,6,標準化語音特徵
广州_增城,之咍近混,1,標準化語音特徵
广州_增城,仔讀濟,1,標準化語音特徵
广州_增城,來讀黎,1,標準化語音特徵
广州_增城,去聲相關變讀,1,標準化語音特徵
广州_增城,孻讀賴平聲,1,標準化語音特徵
广州_增城,屘讀米,1,標準化語音特徵
广州_增城,崽讀宰,2,標準化語音特徵
广州_增城,搋讀釵,1,標準化語音特徵
广州_增城,效攝與遇攝近讀,7,標準化語音特徵
广州_增城,文魂近讀 / 臻攝內部近讀,2,標準化語音特徵
广州_增城,暫不提取,31,標準化語音特徵
广州_增城,有厚近混,5,標準化語音特徵
广州_增城,省會造讀在路切,1,標準化語音特徵
广州_增城,虞模近混,2,標準化語音特徵
广州_增城,遇止近讀,1,標準化語音特徵
广州_增城,齊咍近混,1,標準化語音特徵
广州_增城,𠜱讀批,1,標準化語音特徵
广州_增城,𨉹𨊛讀赤厲,1,標準化語音特徵
广州_天河,上聲相關變讀,4,標準化語音特徵
广州_天河,之咍近混,1,標準化語音特徵
广州_天河,仔讀濟,1,標準化語音特徵
广州_天河,來讀黎,1,標準化語音特徵
广州_天河,孻讀賴平聲,1,標準化語音特徵
广州_天河,屘讀米,1,標準化語音特徵
广州_天河,崽讀宰,2,標準化語音特徵
广州_天河,搋讀釵,1,標準化語音特徵
广州_天河,效攝與遇攝近讀,7,標準化語音特徵
广州_天河,文魂近讀 / 臻攝內部近讀,1,標準化語音特徵
广州_天河,暫不提取,19,標準化語音特徵
广州_天河,有厚近混,4,標準化語音特徵
广州_天河,省會造讀在路切,1,標準化語音特徵
广州_天河,虞模近混,2,標準化語音特徵
广州_天河,遇止近讀,1,標準化語音特徵
广州_天河,齊咍近混,1,標準化語音特徵
广州_海珠,上聲相關變讀,4,標準化語音特徵
广州_海珠,之咍近混,1,標準化語音特徵
广州_海珠,仔讀濟,1,標準化語音特徵
广州_海珠,來讀黎,1,標準化語音特徵
广州_海珠,孻讀賴平聲,1,標準化語音特徵
广州_海珠,屘讀米,1,標準化語音特徵
广州_海珠,崽讀宰,2,標準化語音特徵
广州_海珠,搋讀釵,1,標準化語音特徵
广州_海珠,效攝與遇攝近讀,7,標準化語音特徵
广州_海珠,文魂近讀 / 臻攝內部近讀,1,標準化語音特徵
广州_海珠,暫不提取,19,標準化語音特徵
广州_海珠,有厚近混,4,標準化語音特徵
广州_海珠,省會造讀在路切,1,標準化語音特徵
广州_海珠,虞模近混,2,標準化語音特徵
广州_海珠,遇止近讀,1,標準化語音特徵
广州_海珠,齊咍近混,1,標準化語音特徵
广州_番禺,上聲相關變讀,4,標準化語音特徵
广州_番禺,之咍近混,1,標準化語音特徵
广州_番禺,仔讀濟,1,標準化語音特徵
广州_番禺,來讀黎,1,標準化語音特徵
广州_番禺,孻讀賴平聲,1,標準化語音特徵
广州_番禺,屘讀米,1,標準化語音特徵
广州_番禺,崽讀宰,2,標準化語音特徵
广州_番禺,搋讀釵,1,標準化語音特徵
广州_番禺,效攝與遇攝近讀,7,標準化語音特徵
广州_番禺,文魂近讀 / 臻攝內部近讀,1,標準化語音特徵
广州_番禺,日母字異讀,2,標準化語音特徵
广州_番禺,暫不提取,19,標準化語音特徵
广州_番禺,有厚近混,4,標準化語音特徵
广州_番禺,省會造讀在路切,1,標準化語音特徵
广州_番禺,虞模近混,2,標準化語音特徵
广州_番禺,遇止近讀,1,標準化語音特徵
广州_番禺,齊咍近混,1,標準化語音特徵
广州_白云,上聲相關變讀,4,標準化語音特徵
广州_白云,之咍近混,1,標準化語音特徵
广州_白云,仔讀濟,1,標準化語音特徵
广州_白云,來讀黎,1,標準化語音特徵
广州_白云,孻讀賴平聲,1,標準化語音特徵
广州_白云,屘讀米,1,標準化語音特徵
广州_白云,崽讀宰,2,標準化語音特徵
广州_白云,搋讀釵,1,標準化語音特徵
广州_白云,效攝與遇攝近讀,7,標準化語音特徵
广州_白云,文魂近讀 / 臻攝內部近讀,1,標準化語音特徵
广州_白云,暫不提取,19,標準化語音特徵
广州_白云,有厚近混,4,標準化語音特徵
广州_白云,省會造讀在路切,1,標準化語音特徵
广州_白云,虞模近混,2,標準化語音特徵
